column_variable,total_missing,percent_missing
rh_S_cingul.Marginalis_thicknessstd_D,0,0.0
rh_S_circular_insula_ant_thicknessstd_D,0,0.0
rh_S_circular_insula_inf_thicknessstd_D,0,0.0
rh_S_circular_insula_sup_thicknessstd_D,0,0.0
rh_S_collat_transv_ant_thicknessstd_D,0,0.0
rh_S_collat_transv_post_thicknessstd_D,0,0.0
rh_S_front_inf_thicknessstd_D,0,0.0
rh_S_front_middle_thicknessstd_D,0,0.0
rh_S_front_sup_thicknessstd_D,0,0.0
rh_S_interm_prim.Jensen_thicknessstd_D,0,0.0
rh_S_intrapariet_and_P_trans_thicknessstd_D,0,0.0
rh_S_oc_middle_and_Lunatus_thicknessstd_D,0,0.0
rh_S_oc_sup_and_transversal_thicknessstd_D,0,0.0
rh_S_occipital_ant_thicknessstd_D,0,0.0
rh_S_oc.temp_lat_thicknessstd_D,0,0.0
rh_S_oc.temp_med_and_Lingual_thicknessstd_D,0,0.0
rh_S_orbital_lateral_thicknessstd_D,0,0.0
rh_S_orbital_med.olfact_thicknessstd_D,0,0.0
rh_S_orbital.H_Shaped_thicknessstd_D,0,0.0
rh_S_parieto_occipital_thicknessstd_D,0,0.0
rh_S_pericallosal_thicknessstd_D,0,0.0
rh_S_postcentral_thicknessstd_D,0,0.0
rh_S_precentral.inf.part_thicknessstd_D,0,0.0
rh_S_precentral.sup.part_thicknessstd_D,0,0.0
rh_S_suborbital_thicknessstd_D,0,0.0
rh_S_subparietal_thicknessstd_D,0,0.0
rh_S_temporal_inf_thicknessstd_D,0,0.0
rh_S_temporal_sup_thicknessstd_D,0,0.0
rh_S_temporal_transverse_thicknessstd_D,0,0.0
rh_G_and_S_frontomargin_thickness_D,0,0.0
rh_G_and_S_occipital_inf_thickness_D,0,0.0
rh_G_and_S_paracentral_thickness_D,0,0.0
rh_G_and_S_subcentral_thickness_D,0,0.0
rh_G_and_S_transv_frontopol_thickness_D,0,0.0
rh_G_and_S_cingul.Ant_thickness_D,0,0.0
rh_G_and_S_cingul.Mid.Ant_thickness_D,0,0.0
rh_G_and_S_cingul.Mid.Post_thickness_D,0,0.0
rh_G_cingul.Post.dorsal_thickness_D,0,0.0
rh_G_cingul.Post.ventral_thickness_D,0,0.0
rh_G_cuneus_thickness_D,0,0.0
rh_G_front_inf.Opercular_thickness_D,0,0.0
rh_G_front_inf.Orbital_thickness_D,0,0.0
rh_G_front_inf.Triangul_thickness_D,0,0.0
rh_G_front_middle_thickness_D,0,0.0
rh_G_front_sup_thickness_D,0,0.0
rh_G_Ins_lg_and_S_cent_ins_thickness_D,0,0.0
rh_G_insular_short_thickness_D,0,0.0
rh_G_occipital_middle_thickness_D,0,0.0
rh_G_occipital_sup_thickness_D,0,0.0
rh_G_oc.temp_lat.fusifor_thickness_D,0,0.0
rh_G_oc.temp_med.Lingual_thickness_D,0,0.0
rh_G_oc.temp_med.Parahip_thickness_D,0,0.0
rh_G_orbital_thickness_D,0,0.0
rh_G_pariet_inf.Angular_thickness_D,0,0.0
rh_G_pariet_inf.Supramar_thickness_D,0,0.0
rh_G_parietal_sup_thickness_D,0,0.0
rh_G_postcentral_thickness_D,0,0.0
rh_G_precentral_thickness_D,0,0.0
rh_G_precuneus_thickness_D,0,0.0
rh_G_rectus_thickness_D,0,0.0
rh_G_subcallosal_thickness_D,0,0.0
rh_G_temp_sup.G_T_transv_thickness_D,0,0.0
rh_G_temp_sup.Lateral_thickness_D,0,0.0
rh_G_temp_sup.Plan_polar_thickness_D,0,0.0
